Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
22/03/2010,127.11,128.39,126.57,127.98,5651900,0,1,104.1818989,105.2310125,103.739304,104.8949683,5651900
23/03/2010,127.94,129.43,127.64,129.37,5978500,0,1,104.8621835,106.0834173,104.6162975,106.0342401,5978500
24/03/2010,128.63,129.95,128.47,128.53,6669300,0,1,105.4277213,106.5096197,105.2965821,105.3457593,6669300
25/03/2010,129.36,130.73,129.13,129.24,7603200,0,1,106.0260439,107.1489233,105.8375313,105.9276895,7603200
26/03/2010,128.93,129.78,128.7205,129.26,5550800,0,1,105.6736073,106.3702843,105.5018969,105.9440819,5550800
29/03/2010,129.3,129.95,128.26,128.59,4643000,0,1,105.9768667,106.5096197,105.1244619,105.3949365,4643000
30/03/2010,128.9,129.13,128.25,128.77,3426600,0,1,105.6490187,105.8375313,105.1162657,105.5424681,3426600
31/03/2010,128.23,128.75,127.65,128.25,4904800,0,1,105.0998733,105.5260757,104.6244937,105.1162657,4904800
01/04/2010,128.95,129.31,127.55,128.25,4980500,0,1,105.6899997,105.9850629,104.5425317,105.1162657,4980500
05/04/2010,128.38,129.8,128.14,129.35,4118700,0,1,105.2228163,106.3866767,105.0261075,106.0178477,4118700
06/04/2010,128.68,129.3,128.05,128.93,3926300,0,1,105.4687023,105.9768667,104.9523417,105.6736073,3926300
07/04/2010,128.53,129.27,128.01,128.48,5157000,0,1,105.3457593,105.9522781,104.9195569,105.3047783,5157000
08/04/2010,128.04,128.23,127.2,127.61,6006900,0,1,104.9441455,105.0998733,104.2556647,104.5917089,6006900
09/04/2010,127.88,128.87,127.12,128.76,5185100,0,1,104.8130063,105.6244301,104.1900951,105.5342719,5185100
12/04/2010,128.57,128.956,128.24,128.36,3992300,0,1,105.3785441,105.6949174,105.1080695,105.2064239,3992300
13/04/2010,128.26,129.435,127.84,129.03,6819100,0,1,105.1244619,106.0875154,104.7802215,105.7555693,6819100
14/04/2010,129.73,131.42,129.46,131.25,8545800,0,1,106.3293033,107.7144611,106.1080059,107.5751257,8545800
15/04/2010,130.53,131.14,130.1902,130.89,6425300,0,1,106.9849993,107.4849675,106.7064924,107.2800625,6425300
16/04/2010,130.68,132.17,130.25,130.63,9546200,0,1,107.1079423,108.3291761,106.7555057,107.0669613,9546200
19/04/2010,130.38,132.28,130.38,132.23,11353700,0,1,106.8620563,108.4193343,106.8620563,108.3783533,11353700
20/04/2010,129.2,130.33,128.26,129.69,15216500,0,1,105.8949047,106.8210753,105.1244619,106.2965185,15216500
21/04/2010,129.87,130.27,128.5,128.99,7559200,0,1,106.4440501,106.7718981,105.3211707,105.7227845,7559200
22/04/2010,128.64,129.36,127.77,129.13,6018500,0,1,105.4359175,106.0260439,104.7228481,105.8375313,6018500
23/04/2010,129.08,130.1,128.71,129.99,6197300,0,1,105.7965503,106.6325627,105.4932909,106.5424045,6197300
26/04/2010,129.76,131.04,129.54,130.73,5285400,0,1,106.3538919,107.4030055,106.1735755,107.1489233,5285400
27/04/2010,129.9,132,128.71,128.82,10916700,0,1,106.4686387,108.1898407,105.4932909,105.5834491,10916700
28/04/2010,129.4,130.47,129.03,130.1,7122300,0,1,106.0588287,106.9358221,105.7555693,106.6325627,7122300
29/04/2010,130.55,131.21,130.15,130.46,5786900,0,1,107.0013917,107.5423409,106.6735437,106.9276259,5786900
30/04/2010,130.43,130.636,128.84,129,6266700,0,1,106.9030373,107.071879,105.5998415,105.7309807,6266700
03/05/2010,129.39,130.14,128.8,129.6,4992100,0,1,106.0506325,106.6653475,105.5670567,106.2227527,4992100
04/05/2010,128.89,128.93,126.5754,128.12,8285000,0,1,105.6408225,105.6736073,103.74373,105.0097151,8285000
05/05/2010,127.12,128.23,126.87,127.46,6072800,0,1,104.1900951,105.0998733,103.98519,104.4687659,6072800
06/05/2010,126.29,127.93,116,123.92,13168800,0.65,1,104.0527525,105.4039799,95.57462418,102.100064,13168800
07/05/2010,123.36,124.39,120,122.1,10584800,0,1,101.6386693,102.487306,98.87030088,100.6005311,10584800
10/05/2010,126.27,126.67,125.06,126.27,8463900,0,1,104.0362741,104.3658418,103.0393319,104.0362741,8463900
11/05/2010,125.21,128.42,125.15,126.89,6498900,0,1,103.1629198,105.8077003,103.1134846,104.547104,6498900
12/05/2010,127.16,132.85,127.01,132.68,16626900,0,1,104.7695622,109.4576623,104.6459743,109.317596,16626900
13/05/2010,130.93,133.1,130.85,131.48,10497800,0,1,107.8757374,109.6636421,107.8098239,108.328893,10497800
14/05/2010,131.06,131.67,129.41,131.19,9920100,0,1,107.9828469,108.4854376,106.6233803,108.0899564,9920100
17/05/2010,130.68,131.76,128.7,130.44,8923400,0,1,107.6697577,108.5595904,106.0383977,107.4720171,8923400
18/05/2010,131.26,131.99,129.9,129.95,9330000,0,1,108.1476308,108.7490918,107.0271007,107.0682967,9330000
19/05/2010,129.37,130.5,127.82,128.86,8669300,0,1,106.5904235,107.5214522,105.3133488,106.1702248,8669300
20/05/2010,127.22,127.96,123.68,123.8,13176500,0,1,104.8189973,105.4286975,101.9023234,102.0011937,13176500
21/05/2010,122.16,125.61,121.4,125.42,12639500,0,1,100.6499663,103.4924874,100.0237877,103.3359428,12639500
24/05/2010,125.26,126.02,124.04,124.45,6868600,0,1,103.2041157,103.8302943,102.1989343,102.5367412,6868600
25/05/2010,121.47,124.95,121.47,124.52,9494800,0,1,100.0814621,102.9487008,100.0814621,102.5944155,9494800
26/05/2010,124.89,125.94,123,123.23,9083200,0,1,102.8992656,103.7643808,101.3420584,101.5315598,9083200
27/05/2010,125.05,126.39,124.77,126.39,7725900,0,1,103.0310927,104.1351444,102.8003953,104.1351444,7725900
28/05/2010,125.96,126.2794,124.29,125.26,7421900,0,1,103.7808592,104.0440189,102.4049141,103.2041157,7421900
01/06/2010,124.69,126.88,124.2,124.34,7135400,0,1,102.7344818,104.5388648,102.3307614,102.4461101,7135400
02/06/2010,124.85,127.5,124.35,127.41,7705300,0,1,102.8663089,105.0496947,102.4543493,104.975542,7705300
03/06/2010,127.75,128.22,126.46,127.96,6645300,0,1,105.2556745,105.6429165,104.1928187,105.4286975,6645300
04/06/2010,126.37,127.1,124.67,125.28,9669200,0,1,104.118666,104.720127,102.7180034,103.2205941,9669200
07/06/2010,125.57,125.86,124.13,124.13,6951400,0,1,103.4595307,103.6984672,102.2730871,102.2730871,6951400
08/06/2010,124.26,124.46,122.82,123.72,8399200,0,1,102.3801966,102.5449804,101.1937529,101.9352802,8399200
09/06/2010,124.83,125.84,123.58,123.9,7795500,0,1,102.8498305,103.6819889,101.8199315,102.0835857,7795500
10/06/2010,125.99,128.22,125.8,127.68,7479700,0,1,103.8055767,105.6429165,103.6490321,105.1980001,7479700
11/06/2010,126.73,128.8,126.44,128.45,5820200,0,1,104.4152769,106.1207896,104.1763404,105.8324179,5820200
